Name,Country_ of_Registry,Country_of_Operator,Users,Purpose,Class_of_Orbit,Launch_Mass,Date_of_Launch,Launch_Site,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JCSat 1B (JCSAT 5),Japan,Japan,Commercial,Communications,Elliptical,"2,982",12/2/97,Guiana Space Center,Ku-band; voice and video communications to Asian Pacific countries and Hawaii.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1G ,Luxembourg,Luxembourg,Commercial,Communications,LEO,"3,379",12/2/97,Baikonur Cosmodrome,Direct-to-home tv; multimedia; 32 Ku-band transponders; Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 45 (Iridium SV045),USA,USA,Government/Commercial,Communications,GEO,689,12/20/97,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 47 (Iridium SV047),USA,USA,Government/Commercial,Communications,GEO,689,12/20/97,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 49 (Iridium SV049),USA,USA,Government/Commercial,Communications,LEO,689,12/20/97,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM FM-10 (ORBCOMM A2),USA,USA,Commercial,Communications,LEO,45,12/23/97,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM FM-11 (ORBCOMM A3),USA,USA,Commercial,Communications,LEO,45,12/23/97,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM FM-12 (ORBCOMM A4),USA,USA,Commercial,Communications,LEO,45,12/23/97,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM FM-5 (ORBCOMM A6),USA,USA,Commercial,Communications,LEO,45,12/23/97,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM FM-6 (ORBCOMM A7),USA,USA,Commercial,Communications,LEO,45,12/23/97,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM FM-7 (ORBCOMM A8),USA,USA,Commercial,Communications,LEO,45,12/23/97,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM FM-8 (ORBCOMM A1),USA,USA,Commercial,Communications,LEO,45,12/23/97,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM FM-9 (ORBCOMM A5),USA,USA,Commercial,Communications,LEO,45,12/23/97,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazilsat B-3 (Brasilsat B-3),Brazil,Brazil,Commercial,Communications,LEO,"1,780",2/4/98,Guiana Space Center,28 C-band transponders for voice and video communication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INMARSAT 3 F5 ,NR,United Kingdom,Commercial,Communications,LEO,"2,000",2/4/98,Guiana Space Center,"Broadcasting, business services, mobile communications; demand assigned L-band transponders; back-up and leased-capacity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM FM-4 (ORBCOM G2),USA,USA,Commercial,Communications,GEO,45,2/10/98,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M004 (Globalstar 4),USA,USA,Commercial,Communications,GEO,450,2/14/98,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 50 (Iridium SV050),USA,USA,Government/Commercial,Communications,LEO,689,2/18/98,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 52 (Iridium SV052),USA,USA,Government/Commercial,Communications,LEO,689,2/18/98,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 53 (Iridium SV053),USA,USA,Government/Commercial,Communications,LEO,689,2/18/98,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 56 (Iridium SV056),USA,USA,Government/Commercial,Communications,LEO,689,2/18/98,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSS-806 (Intelsat 806),NR,Netherlands,Commercial,Communications,LEO,"3,720",2/19/98,Guiana Space Center,"Latin America; Iberian peninsula, Canary Islands, Western Europe, much of Eastern Europe; 28 C-band, 3 Ku-band; shared capacity with Intelset.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UFO-8 (USA 138, UHF F/O F8) ""UHF Follow-On""",USA,USA,Military,Communications,LEO,"3,206",3/16/98,Cape Canaveral,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 51 (Iridium SV 051),China,USA,Government/Commercial,Communications,LEO,689,3/25/98,Taiyuan Launch Center,Iridium 51 and Iridium 5 were first confused by OIG. They have been correctly separated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 61 (Iridium SV061),China,USA,Government/Commercial,Communications,GEO,689,3/25/98,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 55 (Iridium SV055),USA,USA,Government/Commercial,Communications,GEO,689,3/30/98,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 58 (Iridium SV058),USA,USA,Government/Commercial,Communications,LEO,689,3/30/98,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 59 (Iridium SV059),USA,USA,Government/Commercial,Communications,LEO,689,3/30/98,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 60 (Iridium SV060),USA,USA,Government/Commercial,Communications,LEO,689,3/30/98,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 62 (Iridium SV062),USA,USA,Government/Commercial,Communications,LEO,689,4/7/98,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 64 (Iridium SV064),USA,USA,Government/Commercial,Communications,LEO,689,4/7/98,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 65 (Iridium SV065),USA,USA,Government/Commercial,Communications,LEO,689,4/7/98,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 66 (Iridium SV066),USA,USA,Government/Commercial,Communications,LEO,689,4/7/98,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 67 (Iridium SV067),USA,USA,Government/Commercial,Communications,LEO,689,4/7/98,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 68 (Iridium SV068),USA,USA,Government/Commercial,Communications,LEO,689,4/7/98,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Orion 2 (Mentor, NROL 6, USA 139)",USA,USA,Military,Earth Observation,LEO,"4,500",5/9/98,Cape Canaveral,ELINT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA-15 (NOAA-K),USA,USA,Government,Earth Observation,LEO,"2,223",5/13/98,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 70 (Iridium SV070),USA,USA,Government/Commercial,Communications,LEO,689,5/17/98,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 72 (Iridium SV072),USA,USA,Government/Commercial,Communications,GEO,689,5/17/98,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 74 (Iridium SV074),USA,USA,Government/Commercial,Communications,LEO,689,5/17/98,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 75 (Iridium SV075),USA,USA,Government/Commercial,Communications,LEO,689,5/17/98,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apstar 9A (Chinastar-1, ChinaSat-10, Zhongwei 1, Chinasat 5A)",China,China,Commercial,Communications,LEO,"3,000",5/30/98,Xichang Satellite Launch Center,"24 C-band, 24 Ku-band; voice and video communications throughout China and neighboring countries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thor-3 ,Norway,Norway,Commercial,Communications,LEO,"1,400",6/10/98,Cape Canaveral,"14 Ku-band; Nordic region, central and eastern Europe.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 805 ,NR,USA,Commercial,Communications,LEO,"3,420",6/18/98,Guiana Space Center,"36 C-band, 6 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM FM-13 (ORBCOMM B1),USA,USA,Commercial,Communications,GEO,45,8/2/98,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM FM-14 (ORBCOMM B2),USA,USA,Commercial,Communications,GEO,45,8/2/98,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM FM-15 (ORBCOMM B3),USA,USA,Commercial,Communications,GEO,45,8/2/98,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM FM-16 (ORBCOMM B4),USA,USA,Commercial,Communications,LEO,45,8/2/98,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM FM-18 (ORBCOMM B6),USA,USA,Commercial,Communications,LEO,45,8/2/98,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM FM-19 (ORBCOMM B7),USA,USA,Commercial,Communications,LEO,45,8/2/98,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM FM-20 (ORBCOMM B8),USA,USA,Commercial,Communications,LEO,45,8/2/98,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 3 (Iridium SV078),China,USA,Government/Commercial,Communications,LEO,689,8/19/98,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 76 (Iridium SV076),China,USA,Government/Commercial,Communications,LEO,689,8/19/98,Taiyuan Launch Center,"Spare; stored in 667 km storage orbit, not raised to 780 km operational orbit until needed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
