Name,Country_ of_Registry,Country_of_Operator,Users,Purpose,Class_of_Orbit,Launch_Mass,Date_of_Launch,Launch_Site,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 2A ,Luxembourg,Luxembourg,Commercial,Communications,LEO,"3,635",8/30/98,Baikonur Cosmodrome,"Voice and video communications to Europe; 32 Ku-band for first five years, 28 after.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 77 (Iridium SV077),USA,USA,Government/Commercial,Communications,LEO,689,9/8/98,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 80 (Iridium SV080),USA,USA,Government/Commercial,Communications,LEO,689,9/8/98,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 81 (Iridium SV081),USA,USA,Government/Commercial,Communications,GEO,689,9/8/98,Vandenberg AFB,"Spare; stored in 667 km storage orbit, not raised to 780 km operational orbit until needed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM FM-21 (ORBCOMM C1),USA,USA,Commercial,Communications,LEO,45,9/23/98,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM FM-23 (ORBCOMM C3),USA,USA,Commercial,Communications,LEO,45,9/23/98,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM FM-27 (ORBCOMM C7),USA,USA,Commercial,Communications,LEO,45,9/23/98,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCD-2 (Satélite de Coleta de Dados),NR,Brazil,Government,Earth Observation,LEO,110,10/23/98,Cape Canaveral,Collects meteorological and environmental data on the Amazon region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afristar ,USA,USA,Commercial,Communications,LEO,"2,704",10/28/98,Guiana Space Center,"First WorldSpace satellite; digital audio and multi-media communications  to Africa, Middle East, Asia, Latin America and Caribbean.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 83 (Iridium SV083),USA,USA,Government/Commercial,Communications,LEO,689,11/6/98,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 84 (Iridium SV084),USA,USA,Government/Commercial,Communications,LEO,689,11/6/98,Vandenberg AFB,"Spare; stored in 667 km storage orbit, not raised to 780 km operational orbit until needed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 86 (Iridium SV086),USA,USA,Government/Commercial,Communications,GEO,689,11/6/98,Vandenberg AFB,Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 11A (Iridium SV088),China,USA,Government/Commercial,Communications,LEO,689,12/19/98,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 20A (Iridium SVO89),China,USA,Government/Commercial,Communications,LEO,689,12/19/98,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galaxy-11,USA,USA,Commercial,Communications,LEO,"4,488",1/21/99,Guiana Space Center,"Voice and video communications; 24 C-band, 40 Ku-band; North America, Brazil. Solar panels very degraded - will serve for DTH applications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M023 (Globalstar 9),USA,USA,Commercial,Communications,LEO,450,2/9/99,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M040 (Globalstar 10),USA,USA,Commercial,Communications,LEO,450,2/9/99,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JCSat 4A (JCSAT 6, Japan Communications Satellite 6)",Japan,Japan,Commercial,Communications,LEO,"2,900",2/15/99,Cape Canaveral,"32 Ku-band; multimedia and Internet access and voice, data and television signals to Japan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skynet 4E ,United Kingdom,United Kingdom,Military,Communications,GEO,"1,510",2/26/99,Guiana Space Center,"Used primarily by UK's armed forces, government departments, agencies and other organizations that require secure communications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M037 (Globalstar 16),USA,USA,Commercial,Communications,LEO,450,3/15/99,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaSat-3S (Asiasat 3SA),China,China,Commercial,Communications,LEO,"3,480",3/21/99,Baikonur Cosmodrome,"28 C-band, 16 Ku-band; broadcasting, internet services, multimedia, telecommunications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat APR-2 (INSAT 2E),India,USA,Commercial,Communications,GEO,"2,550",4/3/99,Xichang Satellite Launch Center,"6 C-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Asia Pacific region.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landsat 7 ,USA,USA,Government,Earth Observation,GEO,"2,744",4/15/99,Vandenberg AFB,Remote sensing; polar orbit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabsat 7F (Nimiq 1) ,Canada,Multinational,Commercial,Communications,LEO,"3,600",5/20/99,Baikonur Cosmodrome,Television broadcast;  32 Ku-band.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLR Tubsat ,NR,Germany,Government,Earth Science,GEO,45,5/26/99,Satish Dhawan Space Centre,Transmits image of its own view; not currently used for scientific mission but operational.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 14A (Iridium SV092),China,USA,Government/Commercial,Communications,GEO,689,6/11/99,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 21A (Iridium SVO93),China,USA,Government/Commercial,Communications,LEO,689,6/11/99,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1H ,Luxembourg,Luxembourg,Commercial,Communications,GEO,"3,690",6/18/99,Baikonur Cosmodrome,"Direct-to-home tv; multimedia; broadcasting; 32 Ku-band for first five years, 28 after; Europe.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandra X-Ray Observatory (CXO),USA,USA,Government,Space Science,LEO,"4,742",7/23/99,Cape Canaveral,X-ray astronomy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M028 (Globalstar 26),USA,USA,Commercial,Communications,LEO,450,7/25/99,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABS-7 (Koreasat 3, Mugungwha 3)",South Korea,Multinational,Commercial,Communications,LEO,"3,500",9/4/99,Guiana Space Center,"30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",NR,Multinational,Commercial,Communications,GEO,"2,894",9/26/99,Baikonur Cosmodrome,"28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Navstar GPS IIR-3 (Navstar SVN 46, PRN 11, USA 145)",USA,USA,Military/Commercial,Navigation/Global Positioning,Elliptical,"2,217",10/7/99,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DirecTV-1R ,USA,Russia,Commercial,Communications,LEO,"3,420",10/10/99,Sea Launch Odyssey,"First commercial launch by Sea Launch consortium (American, Russian, Ukrainian companies). Sold to RSCC in 2012 to shore up Bonum-1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M031 (Globalstar 44),USA,USA,Commercial,Communications,GEO,450,10/18/99,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M056 (Globalstar 43),USA,USA,Commercial,Communications,GEO,450,10/18/99,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M059 (Globalstar 42),USA,USA,Commercial,Communications,MEO,450,10/18/99,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telstar 12 (Orion 2),USA,Multinational,Commercial,Communications,GEO,"3,878",10/19/99,Guiana Space Center,"Voice and video communications to the Americas, Europe, and Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-4 (Americom-4, GE-4)",USA,USA,Commercial,Communications,LEO,"3,909",11/13/99,Guiana Space Center,"Broadcasting, cable, internet; CONUS, Canada, Mexico, Caribbean, Central America, South America; 28 Ku- and 24 C-band",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M039 (Globalstar 45),USA,USA,Commercial,Communications,LEO,450,11/22/99,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UFO-10 (USA 146, UHF F/O F10) ""UHF Follow-On""",USA,USA,Military,Communications,LEO,"3,200",11/24/99,Cape Canaveral,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM FM-30 (ORBCOMM D2),USA,USA,Commercial,Communications,GEO,45,12/4/99,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM FM-31 (ORBCOMM D3),USA,USA,Commercial,Communications,GEO,45,12/4/99,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM FM-32 (ORBCOMM D4),USA,USA,Commercial,Communications,LEO,45,12/4/99,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM FM-34 (ORBCOMM D6),USA,USA,Commercial,Communications,GEO,45,12/4/99,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM FM-35 (ORBCOMM D7),USA,USA,Commercial,Communications,LEO,45,12/4/99,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM FM-36 (ORBCOMM D8),USA,USA,Commercial,Communications,LEO,45,12/4/99,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XMM Newton (High Throughput X-ray Spectroscopy Mission),ESA,ESA,Government,Space Science,LEO,"3,764",12/10/99,Guiana Space Center,Detect and study celestial x-ray sources.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DMSP 5D-3 F15 (Defense Meteorological Satellites Program, USA 147)",USA,USA,Military,Earth Observation,LEO,"1,152",12/12/99,Vandenberg AFB,Near-polar orbits; investigate Earth's environment. Problem with SSM/1 sensor to track sea ice.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOS-AM Terra ,USA,USA/Canada/Japan,Government,Earth Observation,LEO,"4,854",12/18/99,Vandenberg AFB,Aathfinusrs for Earth Sciences Gnterprise's 190 Vanelliea LEO gonseallation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DSCS III-F11 (USA 148, DSCS III B-8) (Defense Satellite Communications System)",USA,USA,Military,Communications,LEO,"1,156",1/1/00,Cape Canaveral,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M063 (Globalstar 49),USA,USA,Commercial,Communications,Elliptical,450,2/8/00,Cape Canaveral,"Global M0bile satellite telecommunications services, offering both voice and data services from virtually anywhere in over 100 countries around the world.; went through Chapter 11 in 2002; acquired by ICO Global Communications (majority shareholder in 2003. In 2002 awarded contract to Space Systems/Loral for second generation constellation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superbird-B2 (Superbird 4),Japan,Japan,Commercial,Communications,LEO,"4,051",2/18/00,Guiana Space Center,"23 Ku-band, 6 Ka-band; Japan, Okinawa; business communications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTI (Multispectral Thermal Imager),USA,USA,Government/Military,Technology Development,LEO,587,3/12/00,Vandenberg AFB,"Primary objective is to demonstrate advanced multispectral and thermal imaging, image processing, and associated technologies that could be used in future systems for detecting and characterizing facilities producing weapons of mass destruction.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaStar ,USA,USA,Commercial,Communications,GEO,"2,775",3/21/00,Guiana Space Center,"Africa, Middle East, Asia, Latin America and Caribbean. Services to underserved emerging markets; low-cost portable receivers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eutelsat 16C (SESAT-1, Siberia-Europe Satellite)",France,Multinational,Commercial,Communications,LEO,"2,500",4/17/00,Baikonur Cosmodrome,"High-speed Internet access, high-volume data transmission, video broadcasting, messaging and positioning services; 18 Ku-band transponders.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Navstar GPS IIR-4 (Navstar SVN 51, PRN 20, USA 150)",USA,USA,Military/Commercial,Navigation/Global Positioning,GEO,"2,217",5/11/00,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP 20 (USA 149) (Defense Support Program),USA,USA,Military,Earth Observation,LEO,"2,380",5/18/00,Cape Canaveral,Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eutelsat 36A (Eutelsat W-4) ,France,Multinational,Commercial,Communications,GEO,"3,190",5/24/00,Cape Canaveral,"Thirty-one operational channels, Western Russia,  majoritiy of central and southern Afirca.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TDRS-8 (Tracking and Data Relay Satellite, TDRS-H)",USA,USA,Government,Communications,GEO,"3,180",6/30/00,Cape Canaveral,"Tracking and communications with space shuttle, other missions; not fully functional.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sirius 1 (SD Radio 1),USA,USA,Commercial,Communications,MEO,"3,727",6/30/00,Baikonur Cosmodrome,"Relay music, news, entertainment directly to motorists in the USA; a fourth satellite is stored on the ground for rapid replacement, if necessary.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BermudaSat-1 (Echostar 6) ,USA,USA,Commercial,Communications,GEO,"3,700",7/14/00,Cape Canaveral,"CONUS, Hawaii, Alaska and Puerto Rico; 32 Ku-band transponders. In 2013 leased by Bermuda and moved to the 96.2 W orbital slot.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salsa (part of Cluster quartet, Cluster 2 FM6)",ESA,ESA,Government,Space Science,GEO,"1,200",7/16/00,Baikonur Cosmodrome,"Collection of four spacecraft flying in formation around the earth, relaying detailed information about solar wind's affect on our planet in three dimensions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samba (part of Cluster quartet, Cluster 2 FM7)",ESA,ESA,Government,Space Science,Elliptical,"1,200",7/16/00,Baikonur Cosmodrome,"Collection of four spacecraft flying in formation around the earth, relaying detailed information about solar wind's affect on our planet in three dimensions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Navstar GPS IIR-5 (Navstar SVN 44, PRN 28, USA 151)",USA,USA,Military/Commercial,Navigation/Global Positioning,GEO,"2,217",7/16/00,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Intelsat 9 (IS-9, PAS-9) ",USA,USA,Commercial,Communications,GEO,"3,659",7/28/00,Sea Launch Odyssey,"160 voice, video, data, and Internet channels; 24 C-band, 24 Ku-band; Americas, Caribbean, Europe.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rumba (part of Cluster quartet, Cluster 2 FM5)",ESA,ESA,Government,Space Science,MEO,"1,200",8/9/00,Baikonur Cosmodrome,"Collection of four spacecraft flying in formation around the earth, relaying detailed information about solar wind's affect on our planet in three dimensions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tango (part of Cluster quartet, Cluster 2 FM8)",ESA,ESA,Government,Space Science,Elliptical,"1,200",8/9/00,Baikonur Cosmodrome,"Collection of four spacecraft flying in formation around the earth, relaying detailed information about solar wind's affect on our planet in three dimensions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nilesat 102 ,NR,Egypt,Government,Communications,Elliptical,"1,825",8/17/00,Guiana Space Center,"Large parts of the Arab world, the Middle East, north and central Africa and southern Europe.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazilsat B-4 (Brasilsat B-4),Brazil,Brazil,Commercial,Communications,GEO,"2,495",8/17/00,Guiana Space Center,28 C-band; voice and video communications to all of South America.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lacrosse/Onyx 4 (Lacrosse-4, USA 152)",USA,USA,Military,Earth Observation,Elliptical,"14,500",8/17/00,Vandenberg AFB,$1 billion range; 3-10 ft. image resolution.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sirius 2 (SD Radio 2),USA,USA,Commercial,Communications,Elliptical,"3,792",9/5/00,Baikonur Cosmodrome,"Relay music, news, entertainment directly to motorists in the USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-7 (Americom-7, GE-7)",USA,USA,Commercial,Communications,GEO,"1,935",9/14/00,Guiana Space Center,"Cable programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 2B ,Luxembourg,Luxembourg,Commercial,Communications,LEO,"3,315",9/14/00,Guiana Space Center,"Direct-to-home; broadcasting, multimedia; 30 Ku-band for first five years, 28 after; UK and Ireland.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NSS-11 (Worldsat-1, AAP-1, GE-1A) ",USA,Netherlands,Commercial,Communications,GEO,"3,582",10/2/00,Baikonur Cosmodrome,"Direct-to-home voice, video and data transmission in India, China and Philippines; 24 C-band, 24 Ku-band transponders.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JCSat 110 (N-Sat-110, Superbird-D, Superbird-5, N-Sat-110)",Japan,Japan,Commercial,Communications,Elliptical,"3,531",10/7/00,Guiana Space Center,24 Ku-band; voice and video communications to Japan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DSCS III-F12 (USA 153, DSCS III B-11) (Defense Satellite Communications System)",USA,USA,Military,Communications,GEO,"1,156",10/20/00,Cape Canaveral,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-6 (Americom-6, GE-6)",USA,USA,Commercial,Communications,GEO,"3,901",10/22/00,Baikonur Cosmodrome,"Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Intelsat 12 (Europe*Star 1, Europe*Star FM1, IS-12, PAS-12)",United Kingdom,USA,Commercial,Communications,GEO,"4,167",10/29/00,Guiana Space Center,30 Ku-band; highest powered Ku-band cross connection between South East Asia and Europe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Navstar GPS IIR-6 (Navstar SVN 41, PRN 14, USA 154)",USA,USA,Military/Commercial,Navigation/Global Positioning,GEO,"2,217",11/10/00,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Intelsat 1R (IS-1R, PAS-1R, PanAmSat 1R)",USA,USA,Commercial,Communications,GEO,"4,793",11/15/00,Guiana Space Center,"36 C-band, 36 Ku-band; direct-to-home (DTH) digital video and Internet services; Americas, Caribbean, Europe, Africa; will be replaced by Intelsat 14.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F1 ,Canada,Canada,Commercial,Communications,GEO,"4,710",11/21/00,Guiana Space Center,"36 C-band and 48 Ku-band transponders; broadcasting, business; North and South America; faulty solar panels may affect operations by 2005.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sirius 3 (SD Radio 3),USA,USA,Commercial,Communications,GEO,"3,727",11/30/00,Baikonur Cosmodrome,"Relay music, news, entertainment directly to motorists in the USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 2D,Luxembourg,Luxembourg,Commercial,Communications,MEO,"1,420",12/19/00,Guiana Space Center,"Direct-to-home; broadcasting, multimedia; 16 Ku-band; UK and Ireland.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-8 (Americom-8, GE-8, Aurora 3)",USA,USA,Commercial,Communications,GEO,"2,015",12/19/00,Guiana Space Center,"Cable television and radio programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurasiasat 1 (Turksat 2A),Turkey,Turkey/France,Commercial,Communications,GEO,"3,535",1/10/01,Guiana Space Center,"32 Ku-band transponders; direct-to-home voice, video, and data transmissions to countries between central Europe and the Indian subcontinent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Navstar GPS IIR-7 (Navstar SVN 54, PRN 18, USA 156)",USA,USA,Military/Commercial,Navigation/Global Positioning,Elliptical,"2,217",1/30/01,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skynet 4F ,United Kingdom,United Kingdom,Military,Communications,GEO,"1,510",2/7/01,Guiana Space Center,"Used primarily by UK's armed forces, government departments, agencies and other organizations that require secure communications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sicral 1A ,Italy,Italy,Military,Communications,GEO,"2,596",2/7/01,Guiana Space Center,"Italy's first military satellite; communications to fixed and mobile terminals. Extremely High Frequency (EHF), SHF, UHF broadcast frequencies. On-board failure in 2006, but operations recovered.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odin ,Sweden,Sweden,Government,Earth Observation,GEO,250,2/20/01,Svobodny Cosmodrome,Originally two scientific disciplines on a single spacecraft in studies of star formation/early solar system (astronomy)  and of the mechanisms behind the depletion of the ozone layer in the earth atmosphere and the effects of global warming (aeronomy); astronomy mission has ended.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Milstar DFS-4 (USA 157, Milstar 2-F2) (Military Strategic and Tactical Relay)",USA,USA,Military,Communications,MEO,"4,536",2/27/01,Cape Canaveral,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eutelsat 33C (Eutelsat 28A, Eurobird 1, Eurosat 1)",France,Multinational,Commercial,Communications,GEO,"2,950",3/8/01,Guiana Space Center,Twenty-four channels; Western and Central Europe as far west as Canary Islands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 10 (PAS-10),USA,USA,Commercial,Communications,GEO,"3,739",5/14/01,Baikonur Cosmodrome,"Direct-to-home video channels; 24 C-band, 24 Ku-band; Asia, Africa, Middle East, Europe.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 901 ,USA,USA,Commercial,Communications,LEO,"4,723",6/9/01,Cape Canaveral,"72 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 2C ,Luxembourg,Luxembourg,Commercial,Communications,GEO,"3,643",6/16/01,Baikonur Cosmodrome,"Direct-to-home; broadcasting, multimedia; 32 transponders for first five years; 28 after, continental Europe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemis (Advanced Data Relay and Technology Mission Satellite) ,ESA,ESA,Commercial/Government,Communications/Technology Development,GEO,"3,105",7/12/01,Guiana Space Center,"An 18-month rescue mission recovered the satellite; develop European capabilities in satellite communications; test new technologies; support development of European navigation system (EGNOS, c. 2010).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
